,method,step,rmse
0,single,1,0.05929585040458368
1,single,2,0.05886503916139492
2,single,3,0.07132128437336258
3,single,4,0.0774409409624417
4,single,5,0.07643122864526454
5,single,6,0.08021087239260581
6,single,7,0.09617366265179901
7,single,8,0.09497482048376527
8,single,9,0.09916559748579615
9,single,10,0.10454617522350611
10,single,11,0.11363563543264196
11,single,12,0.11879923609607713
12,single,13,0.12662710206443278
13,single,14,0.14266441102138958
14,single,15,0.1467767591627571
15,single,16,0.15054588430544907
16,single,17,0.15355260333632859
17,single,18,0.15996998635206447
18,single,19,0.16034474726901013
19,single,20,0.17446228700719632
20,single,21,0.18744874976249276
21,single,22,0.20335789883382635
22,single,23,0.21359567764607984
23,single,24,0.2176312061700041
24,single,25,0.21328847539785975
25,single,26,0.20602169718213997
26,single,27,0.21103919586486317
27,single,28,0.22004756763740166
28,single,29,0.2324331509312703
29,single,30,0.24016836866275068
30,single,31,0.24091418272874834
31,single,32,0.2382637610276123
32,single,33,0.24087542844047108
33,single,34,0.24097454882527125
34,single,35,0.24109601736029587
35,single,36,0.24919676358211829
36,single,37,0.2599702000751504
37,single,38,0.26778626702668407
38,single,39,0.2645961750254437
39,single,40,0.25924550147987147
40,single,41,0.2519178475758988
41,single,42,0.2545706954482998
42,single,43,0.2632803948159622
43,single,44,0.2715858782110874
44,single,45,0.2663169708843499
45,single,46,0.2626707832063272
46,single,47,0.2672988188902859
47,single,48,0.2672596970286802
48,single,49,0.2558242829506658
49,single,50,0.2492579382446278
50,single,51,0.2591962618054699
51,single,52,0.2635279755631315
52,single,53,0.27110578359098303
53,single,54,0.27898233181837234
54,single,55,0.27143530591505477
55,single,56,0.26626827626572264
56,single,57,0.26462557349320825
57,single,58,0.26696371019435383
58,single,59,0.27792956891066856
59,single,60,0.2825100042090676
60,single,61,0.2746932595450678
61,single,62,0.265708270545916
62,single,63,0.26842709219074296
63,single,64,0.27060534459097346
64,single,65,0.2627847487204496
65,single,66,0.2615037406079783
66,single,67,0.27061164701551027
67,single,68,0.2758296671882042
68,single,69,0.27874113291035163
69,single,70,0.2789866490778889
70,single,71,0.2772423080175418
71,single,72,0.27187380903093206
72,single,73,0.27052708715875146
73,single,74,0.27261391146387565
74,single,75,0.276038021749634
75,single,76,0.2840875280961338
76,single,77,0.27303878764011935
77,single,78,0.266117712030393
78,single,79,0.2698727243301348
79,single,80,0.2681700898174099
80,single,81,0.2671427126798607
81,single,82,0.26190869737965283
82,single,83,0.2707656812909107
83,single,84,0.2695011950734631
84,single,85,0.2664072373832637
85,single,86,0.2685352598749999
86,single,87,0.27641521023821775
87,single,88,0.2818392184030397
88,single,89,0.2767695045060213
89,single,90,0.2657097293344358
90,single,91,0.2709992463230414
91,single,92,0.27783892396948145
92,single,93,0.28061387002953947
93,single,94,0.2757265218871962
94,single,95,0.2778028936854369
95,single,96,0.2860044528864604
96,single,97,0.28024777753608077
97,single,98,0.2695829517246536
98,single,99,0.2779600880041314
99,single,100,0.28096501736083
100,priori,1,0.04295655047789482
101,priori,2,0.045326282462565204
102,priori,3,0.04746442684930423
103,priori,4,0.0479320145907855
104,priori,5,0.0496501319207166
105,priori,6,0.04361311130893512
106,priori,7,0.04811281687205892
107,priori,8,0.043092265917735434
108,priori,9,0.04971029319545817
109,priori,10,0.05036454862766305
110,priori,11,0.05304902733835159
111,priori,12,0.05286410755410531
112,priori,13,0.053140778181086
113,priori,14,0.05258102560585939
114,priori,15,0.05606452060315321
115,priori,16,0.05906433198204196
116,priori,17,0.056584565256952185
117,priori,18,0.06514193570950673
118,priori,19,0.06541914772404994
119,priori,20,0.07057951283142812
120,priori,21,0.06576071491619084
121,priori,22,0.06750071143986609
122,priori,23,0.07017319563524833
123,priori,24,0.07054557951791093
124,priori,25,0.06699355153941028
125,priori,26,0.07301450230711207
126,priori,27,0.07480175220103888
127,priori,28,0.08164135677758927
128,priori,29,0.07642136111834111
129,priori,30,0.07520511409247782
130,priori,31,0.07180731873382365
131,priori,32,0.06634674356635258
132,priori,33,0.08098500007605355
133,priori,34,0.08156264267360083
134,priori,35,0.08111231707400147
135,priori,36,0.08637002619151249
136,priori,37,0.08043498955580589
137,priori,38,0.08624223363555025
138,priori,39,0.07462084904433064
139,priori,40,0.08444085702297105
140,priori,41,0.08080138778438312
141,priori,42,0.08155300071264314
142,priori,43,0.09136551833782473
143,priori,44,0.08427207015775855
144,priori,45,0.09303150186555935
145,priori,46,0.08413794079600492
146,priori,47,0.07597406561803442
147,priori,48,0.08207483992191751
148,priori,49,0.08716698411313709
149,priori,50,0.08347526823984894
150,priori,51,0.08059966979843279
151,priori,52,0.0879949106720883
152,priori,53,0.09164120143538247
153,priori,54,0.0904795499585872
154,priori,55,0.0910032497907972
155,priori,56,0.084652361981236
156,priori,57,0.08930341632913956
157,priori,58,0.08251236657002393
158,priori,59,0.08527128702733719
159,priori,60,0.08982807294659553
160,priori,61,0.08462375920318571
161,priori,62,0.08854989576758056
162,priori,63,0.08796043509195932
163,priori,64,0.09166181362850181
164,priori,65,0.08601978095963586
165,priori,66,0.08980420424682438
166,priori,67,0.08728021798193944
167,priori,68,0.08417936887822482
168,priori,69,0.08555891095066981
169,priori,70,0.08354643021200239
170,priori,71,0.09257168573863528
171,priori,72,0.08820161383684941
172,priori,73,0.09097904859379183
173,priori,74,0.09017015087668928
174,priori,75,0.10032958544067787
175,priori,76,0.0933725834234014
176,priori,77,0.08011376553971354
177,priori,78,0.08745891600596468
178,priori,79,0.08556381456750531
179,priori,80,0.09696266182532244
180,priori,81,0.10792030225705061
181,priori,82,0.08941282515774156
182,priori,83,0.09129509648718702
183,priori,84,0.09102962408475847
184,priori,85,0.08400132996991896
185,priori,86,0.09170519002466394
186,priori,87,0.1028810752533392
187,priori,88,0.0897149318067451
188,priori,89,0.08333105593024898
189,priori,90,0.08911742051670432
190,priori,91,0.09608341511107865
191,priori,92,0.09262059077431427
192,priori,93,0.08653468332509773
193,priori,94,0.0897752819722521
194,priori,95,0.09973605801926362
195,priori,96,0.09133490355555003
196,priori,97,0.06987663141680069
197,priori,98,0.09386902722594831
198,priori,99,0.10708107045522114
199,priori,100,0.09897804998872059
200,unified,1,0.05929785039524497
201,unified,2,0.058706441495729615
202,unified,3,0.07120149395078448
203,unified,4,0.07823463259102789
204,unified,5,0.07844692537255563
205,unified,6,0.06525987808867399
206,unified,7,0.08191984407553858
207,unified,8,0.0767530239725109
208,unified,9,0.07620442837151116
209,unified,10,0.08680496666184406
210,unified,11,0.08678137692899501
211,unified,12,0.09368515283902501
212,unified,13,0.10792613199965774
213,unified,14,0.10489215941890828
214,unified,15,0.11699309739409357
215,unified,16,0.10780388293515421
216,unified,17,0.11698184277320763
217,unified,18,0.11810728197318549
218,unified,19,0.11522042583036511
219,unified,20,0.11587560130202638
220,unified,21,0.1172484686250167
221,unified,22,0.12525807291915939
222,unified,23,0.15165269826089353
223,unified,24,0.1436844694164492
224,unified,25,0.15442237379484305
225,unified,26,0.14473896654155982
226,unified,27,0.12245696130073017
227,unified,28,0.15008788712290155
228,unified,29,0.15616577653427008
229,unified,30,0.15549746578717025
230,unified,31,0.13443604783255939
231,unified,32,0.15341337776819394
232,unified,33,0.16267401430423484
233,unified,34,0.16453606258149572
234,unified,35,0.1697858252312678
235,unified,36,0.14847555194898882
236,unified,37,0.1698572443229024
237,unified,38,0.16635371232852167
238,unified,39,0.16124847905416792
239,unified,40,0.16505576234615055
240,unified,41,0.15836539486755719
241,unified,42,0.18273022003810838
242,unified,43,0.20692295735182098
243,unified,44,0.15797164452153767
244,unified,45,0.18444811600948846
245,unified,46,0.18749398234966755
246,unified,47,0.15514796100606668
247,unified,48,0.18333832867442193
248,unified,49,0.19575391244735943
249,unified,50,0.18795496749024626
250,unified,51,0.1934649910563668
251,unified,52,0.18980101722841103
252,unified,53,0.18758111585948284
253,unified,54,0.1835103777952936
254,unified,55,0.20308682775053757
255,unified,56,0.22018383916418763
256,unified,57,0.19727589687076283
257,unified,58,0.19473794913704173
258,unified,59,0.2185661389860663
259,unified,60,0.21342490478002887
260,unified,61,0.22253388441856833
261,unified,62,0.20760962186629042
262,unified,63,0.21789777213078257
263,unified,64,0.24973393640334535
264,unified,65,0.24342837600345013
265,unified,66,0.24937468362316084
266,unified,67,0.22457254561820703
267,unified,68,0.2257700176101719
268,unified,69,0.24769782263527768
269,unified,70,0.24336848350698484
270,unified,71,0.21547039201921497
271,unified,72,0.23774872904839617
272,unified,73,0.25424011113311273
273,unified,74,0.2286702905224781
274,unified,75,0.22979427257398158
275,unified,76,0.19965872360054512
276,unified,77,0.22493342352274207
277,unified,78,0.20107222787733564
278,unified,79,0.24223179151999885
279,unified,80,0.23699643042068735
280,unified,81,0.26566046508710234
281,unified,82,0.22520212659695313
282,unified,83,0.25878176669259706
283,unified,84,0.23829811552295635
284,unified,85,0.23644714820497076
285,unified,86,0.21687878603559382
286,unified,87,0.2782969587229392
287,unified,88,0.2654496148010256
288,unified,89,0.26502932233042603
289,unified,90,0.27824525479151874
290,unified,91,0.24762578692779647
