,method,step,rmse
0,single,1,0.032843110249510116
1,single,2,0.03918590839187649
2,single,3,0.033185760674470495
3,single,4,0.03546687962408471
4,single,5,0.04555735283701719
5,single,6,0.03612596832698413
6,single,7,0.06788745252265407
7,single,8,0.07910010344601587
8,single,9,0.060394189886156635
9,single,10,0.06754658041513524
10,single,11,0.11477233524987208
11,single,12,0.1152142567145775
12,single,13,0.10460231136205818
13,single,14,0.14721532705791227
14,single,15,0.1341530324857343
15,single,16,0.08348763881030806
16,single,17,0.0931439613161244
17,single,18,0.11294860048478843
18,single,19,0.1465861391714349
19,single,20,0.16207575033293278
20,single,21,0.18667612899474859
21,single,22,0.20214900978215766
22,single,23,0.18307646598916413
23,single,24,0.14588078043831046
24,single,25,0.15323603024308932
25,single,26,0.17020638356190648
26,single,27,0.18490225157521167
27,single,28,0.19655520067936255
28,single,29,0.21322291254631207
29,single,30,0.21624669581626776
30,single,31,0.20194083390109288
31,single,32,0.2236475537837219
32,single,33,0.22904501730992025
33,single,34,0.23156391077856156
34,single,35,0.23010636791641426
35,single,36,0.22927068375708895
36,single,37,0.22440668120182947
37,single,38,0.21501217632690678
38,single,39,0.2146998957608701
39,single,40,0.24100185259686446
40,single,41,0.23473399541710632
41,single,42,0.2215610823723908
42,single,43,0.22137594444491582
43,single,44,0.28662206512827865
44,single,45,0.3046841751956107
45,single,46,0.2950702081690328
46,single,47,0.2903137014940505
47,single,48,0.2678466828672819
48,single,49,0.25483886320595117
49,single,50,0.25915973011960786
50,single,51,0.2501594656655436
51,single,52,0.2451772555183089
52,single,53,0.2531067179891669
53,single,54,0.2717844894010181
54,single,55,0.26169741714684264
55,single,56,0.2539231051007248
56,single,57,0.2615816207039576
57,single,58,0.25227917946927614
58,single,59,0.24690202386685506
59,single,60,0.27816067241690134
60,single,61,0.2995922849049206
61,single,62,0.2900109885876106
62,single,63,0.2642798231502342
63,single,64,0.2510719188562267
64,single,65,0.25156352635269424
65,single,66,0.26954049312661915
66,single,67,0.279552065589002
67,single,68,0.2799205525490131
68,single,69,0.26162206285932355
69,single,70,0.2498258596298082
70,single,71,0.2679865825796979
71,single,72,0.2690704471978248
72,single,73,0.2329195520845139
73,single,74,0.21818694791947318
74,single,75,0.24476680937356768
75,single,76,0.2867192835694325
76,single,77,0.2909085536955346
77,single,78,0.284619933035132
78,single,79,0.26379355367624996
79,single,80,0.2531025885765043
80,single,81,0.25499999240294713
81,single,82,0.24941148173534555
82,single,83,0.257528822441232
83,single,84,0.2698488827024932
84,single,85,0.3021557360256472
85,single,86,0.2897861260653604
86,single,87,0.26093211995104304
87,single,88,0.25279144424070515
88,single,89,0.2719401402562427
89,single,90,0.27481845126964816
90,single,91,0.25598534797036904
91,single,92,0.26250836379706494
92,single,93,0.27706294747187926
93,single,94,0.28532609415219606
94,single,95,0.2717759189739197
95,single,96,0.26838545201853303
96,single,97,0.2742013535656814
97,single,98,0.24976540854027623
98,single,99,0.2458286631548219
99,single,100,0.25543611134679856
100,priori,1,0.03292959037801319
101,priori,2,0.03947306144564495
102,priori,3,0.03378070693602794
103,priori,4,0.038025489897590393
104,priori,5,0.0471369578732443
105,priori,6,0.03893947325792229
106,priori,7,0.042201356060522645
107,priori,8,0.043571561600448214
108,priori,9,0.04790757512313685
109,priori,10,0.058328219533982234
110,priori,11,0.05161071060176923
111,priori,12,0.05182326161690799
112,priori,13,0.045765837418621155
113,priori,14,0.04501581237285246
114,priori,15,0.059363286653328406
115,priori,16,0.04844391026258466
116,priori,17,0.056505052167738976
117,priori,18,0.07128864417952036
118,priori,19,0.06687727703632992
119,priori,20,0.07258276296541939
120,priori,21,0.04663299125919031
121,priori,22,0.05765282446746249
122,priori,23,0.051554017666725904
123,priori,24,0.07387805071588442
124,priori,25,0.07663661077596846
125,priori,26,0.06269813361728382
126,priori,27,0.06145646930774159
127,priori,28,0.07243342379362722
128,priori,29,0.05833376414769288
129,priori,30,0.07053359314315069
130,priori,31,0.07370074307938654
131,priori,32,0.05479764687031893
132,priori,33,0.07572016637279282
133,priori,34,0.07274304718012767
134,priori,35,0.04731786426976505
135,priori,36,0.07333939135412988
136,priori,37,0.08004154048801741
137,priori,38,0.08383705987948441
138,priori,39,0.05125350390386378
139,priori,40,0.07016736055727635
140,priori,41,0.05577886689420571
141,priori,42,0.06952359295223343
142,priori,43,0.07039088361900006
143,priori,44,0.09109840810884154
144,priori,45,0.10622626901203515
145,priori,46,0.08257983979977501
146,priori,47,0.09231807071124126
147,priori,48,0.09376167376495867
148,priori,49,0.08882823186466995
149,priori,50,0.08305031451206304
150,priori,51,0.10539740462833178
151,priori,52,0.08931993916397438
152,priori,53,0.07556445621658432
153,priori,54,0.08778587985094481
154,priori,55,0.10015530447986368
155,priori,56,0.10896412044042679
156,priori,57,0.06920470147084894
157,priori,58,0.09672912576656768
158,priori,59,0.11009910534810007
159,priori,60,0.07293118308172965
160,priori,61,0.0815955874330292
161,priori,62,0.11839904623920135
162,priori,63,0.09478079899707502
163,priori,64,0.07505028059342009
164,priori,65,0.08265332829246055
165,priori,66,0.11745073485212036
166,priori,67,0.08875307535883452
167,priori,68,0.11423729931280709
168,priori,69,0.08867085938922989
169,priori,70,0.07395224075444722
170,priori,71,0.0836553108758539
171,priori,72,0.0910794449769599
172,priori,73,0.09045590208731305
173,priori,74,0.04007297293309803
174,priori,75,0.1011664595493998
175,priori,76,0.11267973895501442
176,priori,77,0.10470851974431541
177,priori,78,0.06214774992996895
178,priori,79,0.11687528254381306
179,priori,80,0.09514762874251113
180,priori,81,0.07446904763941212
181,priori,82,0.12328961136477483
182,priori,83,0.10972945512830838
183,priori,84,0.08515935637072608
184,priori,85,0.10738158769443394
185,priori,86,0.05034111073506152
186,priori,87,0.07793181476694842
187,priori,88,0.08969748152386356
188,priori,89,0.0950479164537426
189,priori,90,0.08468200956402777
190,priori,91,0.10130526824616472
191,priori,92,0.0926652518563452
192,priori,93,0.06411727022729312
193,priori,94,0.10317278449279306
194,priori,95,0.07882503992180948
195,priori,96,0.07167693499516584
196,priori,97,0.12279015191878234
197,priori,98,0.1239485846373925
198,priori,99,0.0623165019453943
199,priori,100,0.0846510573431314
200,unified,1,0.03292959037801319
201,unified,2,0.03947306144564495
202,unified,3,0.03397282243848574
203,unified,4,0.03801568525278264
204,unified,5,0.047134083894012684
205,unified,6,0.03891000468106945
206,unified,7,0.07255918421566514
207,unified,8,0.08258528723370616
208,unified,9,0.06269758971648623
209,unified,10,0.06290384310275551
210,unified,11,0.054223838669904004
211,unified,12,0.051095189573452465
212,unified,13,0.07462132779346685
213,unified,14,0.08777222989691517
214,unified,15,0.11862473629350578
215,unified,16,0.07930159142275768
216,unified,17,0.07878306343055486
217,unified,18,0.08579072523881914
218,unified,19,0.1027790084715326
219,unified,20,0.09060488807297551
220,unified,21,0.11456156523918244
221,unified,22,0.06338315973419154
222,unified,23,0.173734795602039
223,unified,24,0.15579537962530055
224,unified,25,0.1264634126896263
225,unified,26,0.09845004233314103
226,unified,27,0.13017636244503614
227,unified,28,0.13112731579532164
228,unified,29,0.13429228064311427
229,unified,30,0.08504913143440362
230,unified,31,0.14851804207100683
231,unified,32,0.17847746232156028
232,unified,33,0.12006763326925474
233,unified,34,0.18183010231098104
234,unified,35,0.11140843475754071
235,unified,36,0.0792831089550874
236,unified,37,0.14773638197261502
237,unified,38,0.17314627622002476
238,unified,39,0.15021187186086415
239,unified,40,0.11679724787397847
240,unified,41,0.17480371038243847
241,unified,42,0.14681145476857888
242,unified,43,0.09951866056854385
243,unified,44,0.17892008566938958
244,unified,45,0.18081335554338746
245,unified,46,0.13354823836737512
246,unified,47,0.17403654415525396
247,unified,48,0.221717596883062
248,unified,49,0.18795701513037702
249,unified,50,0.11534553479171107
250,unified,51,0.17281149546006128
251,unified,52,0.2344707040616313
252,unified,53,0.242550161338969
253,unified,54,0.11941098841424354
254,unified,55,0.17948936741865387
255,unified,56,0.18574142961738774
256,unified,57,0.15373446011348033
257,unified,58,0.16901567851669672
258,unified,59,0.17165721062485817
259,unified,60,0.24437558786138067
260,unified,61,0.13315153391231443
261,unified,62,0.1712021243879193
262,unified,63,0.17411734178267776
263,unified,64,0.24312929536958397
264,unified,65,0.24338567091300936
265,unified,66,0.3011528103767544
266,unified,67,0.3144216595882724
267,unified,68,0.1293447421182861
268,unified,69,0.18511270914945016
269,unified,70,0.21750223314190065
270,unified,71,0.1471829188597094
271,unified,72,0.1807647747606935
272,unified,73,0.24779312574915643
273,unified,74,0.22724829732474275
274,unified,75,0.18297494948904902
275,unified,76,0.14142964550454415
276,unified,77,0.24505516028823926
277,unified,78,0.19866085582625162
278,unified,79,0.17447549187696132
279,unified,80,0.18427320829031363
280,unified,81,0.11608505495850094
281,unified,82,0.1141534571843512
282,unified,83,0.11828672397386654
283,unified,84,0.23197369987588692
284,unified,85,0.18839933237002332
285,unified,86,0.20197238636272455
286,unified,87,0.1673378880947212
287,unified,88,0.25716728035096365
288,unified,89,0.18040704036792726
289,unified,90,0.2119860075033632
290,unified,91,0.08213043176948408
291,unified,92,0.22339137590876262
292,unified,93,0.2865548022948463
293,unified,94,0.24919559179039688
294,unified,95,0.23174742623118744
295,unified,96,0.24804974123206402
296,unified,97,0.0798230910361432
297,unified,98,0.15848419027580865
298,unified,99,0.25708793721687395
299,unified,100,0.2841397523880005
300,unified_quantile,1,0.03302596167159752
301,unified_quantile,2,0.03948939719879418
302,unified_quantile,3,0.033755594454179666
303,unified_quantile,4,0.03708391274072576
304,unified_quantile,5,0.04758132619428162
305,unified_quantile,6,0.03906536833027858
306,unified_quantile,7,0.06702253018641002
307,unified_quantile,8,0.08218849427585656
308,unified_quantile,9,0.06329950042970192
309,unified_quantile,10,0.04691909714418333
310,unified_quantile,11,0.05350438143575488
311,unified_quantile,12,0.05097339265268852
312,unified_quantile,13,0.04322050045345848
313,unified_quantile,14,0.03919805469121965
314,unified_quantile,15,0.053035875982186655
315,unified_quantile,16,0.0736996082711422
316,unified_quantile,17,0.07197860416764848
317,unified_quantile,18,0.06867890622510776
318,unified_quantile,19,0.09733270318083956
319,unified_quantile,20,0.08217875123107823
320,unified_quantile,21,0.10030444530265331
321,unified_quantile,22,0.05840624813175369
322,unified_quantile,23,0.14504218630762042
323,unified_quantile,24,0.12129488046612309
324,unified_quantile,25,0.06492116828396541
325,unified_quantile,26,0.09589651918301668
326,unified_quantile,27,0.15280811377517894
327,unified_quantile,28,0.14253324303830958
328,unified_quantile,29,0.11714969626314434
329,unified_quantile,30,0.07491632021564731
330,unified_quantile,31,0.14457277638853705
331,unified_quantile,32,0.13452569049736843
332,unified_quantile,33,0.12969831237499468
